"timestamp","solved_time","puzzle_id","team_id","name","name-2"
"2022-01-14 11:57:11.225351","2022-01-15 09:02:32.518015+11",20,35,"WE ARE NOT HERE TO COMPETE!","The Missing Piece"
"2022-01-14 11:57:11.555405","2022-01-15 06:44:46.093242+11",21,35,"WE ARE NOT HERE TO COMPETE!","My First ABC"
"2022-01-14 11:57:11.895273","2022-01-15 07:07:29.892891+11",22,35,"WE ARE NOT HERE TO COMPETE!","Peter Pan"
"2022-01-14 11:57:12.22732","2022-01-15 12:37:48.58104+11",23,35,"WE ARE NOT HERE TO COMPETE!","Too Many Toys"
"2022-01-14 11:57:13.656619","2022-01-15 11:58:42.791884+11",29,35,"WE ARE NOT HERE TO COMPETE!","The Investigation"
"2022-01-14 11:57:15.412117","2022-01-15 09:06:59.762309+11",19,59,"Tetacetera","Ada Twist, Scientist"
"2022-01-14 11:57:15.78385","2022-01-15 11:41:10.843842+11",20,59,"Tetacetera","The Missing Piece"
"2022-01-14 11:57:16.148333","2022-01-15 10:04:58.481881+11",21,59,"Tetacetera","My First ABC"
"2022-01-14 11:57:16.483235","2022-01-16 06:42:40.6288+11",22,59,"Tetacetera","Peter Pan"
"2022-01-14 11:57:16.848351","2022-01-16 04:45:51.974308+11",23,59,"Tetacetera","Too Many Toys"
"2022-01-14 11:57:18.377561","2022-01-16 07:30:27.471538+11",29,59,"Tetacetera","The Investigation"
"2022-01-14 11:57:20.033862",NULL,19,60,"HORSE","Ada Twist, Scientist"
"2022-01-14 11:57:20.373583",NULL,20,60,"HORSE","The Missing Piece"
"2022-01-14 11:57:20.723623",NULL,21,60,"HORSE","My First ABC"
"2022-01-14 11:57:21.079796",NULL,22,60,"HORSE","Peter Pan"
"2022-01-14 11:57:21.420218",NULL,23,60,"HORSE","Too Many Toys"
"2022-01-14 11:57:22.928557",NULL,29,60,"HORSE","The Investigation"
"2022-01-14 11:57:24.649983","2022-01-15 05:33:45.360485+11",19,16,"teammate","Ada Twist, Scientist"
"2022-01-14 11:57:24.988495","2022-01-15 05:38:15.095518+11",20,16,"teammate","The Missing Piece"
"2022-01-14 11:57:25.350015","2022-01-15 05:26:23.142293+11",21,16,"teammate","My First ABC"
"2022-01-14 11:57:25.676247","2022-01-15 06:07:51.318242+11",22,16,"teammate","Peter Pan"
"2022-01-14 11:57:26.029644","2022-01-15 06:25:34.579585+11",23,16,"teammate","Too Many Toys"
"2022-01-14 11:57:27.550957","2022-01-15 06:42:22.860249+11",29,16,"teammate","The Investigation"
"2022-01-14 11:57:29.271357","2022-01-15 06:25:27.703997+11",19,23,"Om Nom Nom Nom","Ada Twist, Scientist"
"2022-01-14 11:57:29.628356","2022-01-15 06:34:58.344201+11",20,23,"Om Nom Nom Nom","The Missing Piece"
"2022-01-14 11:57:29.964154","2022-01-15 05:39:57.318968+11",21,23,"Om Nom Nom Nom","My First ABC"
"2022-01-14 11:57:30.307973","2022-01-15 07:08:47.209522+11",22,23,"Om Nom Nom Nom","Peter Pan"
"2022-01-14 11:57:30.672924","2022-01-15 11:17:10.749027+11",23,23,"Om Nom Nom Nom","Too Many Toys"
"2022-01-14 11:57:32.145442","2022-01-15 13:08:27.874933+11",29,23,"Om Nom Nom Nom","The Investigation"
"2022-01-14 11:57:33.795661","2022-01-15 05:45:44.060384+11",19,24,"Teragram","Ada Twist, Scientist"
"2022-01-14 11:57:34.119827","2022-01-15 05:34:11.273979+11",20,24,"Teragram","The Missing Piece"
"2022-01-14 11:57:34.459489","2022-01-15 05:49:29.422673+11",21,24,"Teragram","My First ABC"
"2022-01-14 11:57:34.835238","2022-01-15 06:24:20.589464+11",22,24,"Teragram","Peter Pan"
"2022-01-14 11:57:35.212013","2022-01-15 11:02:06.240998+11",23,24,"Teragram","Too Many Toys"
"2022-01-14 11:57:36.731714","2022-01-15 06:38:00.013512+11",29,24,"Teragram","The Investigation"
"2022-01-14 11:57:38.419826","2022-01-15 08:23:42.249451+11",19,25,"Singles Ready to Stay Inside","Ada Twist, Scientist"
